municipality_code,city_name,operation_cost
71120,Chauffailles,76257.0
71154,Crissey,74725.0
71270,Mâcon,2956449.88
71313,Monthelon,553650.0
71425,Saint-Gilles,3898872.0
72016,Auvers-le-Hamon,104420.82
72133,Fillé,1622202.24
72151,Juigné-sur-Sarthe,51340.37
72168,Loué,6881858.0
72208,Montmirail,529175.0
72225,Oisseau-le-Petit,25245.87
72254,Rouessé-Fontaine,2927970.0
72351,Tennie,1653611.0
73065,Chambéry,406500.0
73073,Chanaz,122100.0
73269,Saint-Paul,737219.0
73303,Ugine,1070000.0
74029,Bassy,5810000.0
74042,Bonneville,74861.85
74123,Faverges-Seythenex,2097055.96
76141,Bréauté,11244462.0
76217,Dieppe,110000.0
76415,Massy,4834248.0
76540,Rouen,28207492.0
76560,Saint-Aubin-Épinay,3282314.0
76575,Saint-Étienne-du-Rouvray,518958.0
77070,Chailly-en-Brie,5933200.0
77095,Charny,5370511.0
77111,Chessy,2404500.0
77129,Coulombs-en-Valois,6160937.0
77180,Férolles-Attilly,5512827.0
77252,Limoges-Fourches,6256545.0
77283,May-en-Multien,5995300.0
77381,Quiers,6159949.0
77462,Thieux,5493500.0
78123,Carrières-sous-Poissy,1439100.0
78124,Carrières-sur-Seine,23035469.0
78490,Plaisir,4583171.0
78545,Saint-Cyr-l'École,5116380.0
78615,Thiverval-Grignon,5815852.0
79005,Airvault,5013670.0
79104,Cours,935000.0
79329,Thouars,66266.81
80001,Abbeville,1525281.0
80113,Bonneville,74861.85
80131,Boves,576655.0
80225,Creuse,20544.0
80555,Monchy-Lagache,125110.2
80561,Montdidier,3728034.0
80685,Roye,2330527.0
81065,Castres,5878227.0
81105,Graulhet,410620.0
81131,Lagrave,602480.0
81139,Lautrec,8870.4
81171,Montans,1660000.0
81231,Rouairoux,979725.0
81251,Saint-Germain-des-Prés,5650922.0
81267,Saint-Pierre-de-Trivisy,519339.0
82006,Auterive,2361220.0
82033,Castelsarrasin,4239000.0
82121,Montauban,3615695.0
82125,Montech,4440701.0
82166,Saint-Michel,630459.45
82186,Valence,13805570.0
83023,Brignoles,2217975.0
83030,Camps-la-Source,811712.27
83057,Flassans-sur-Issole,3103302.0
83137,Toulon,5685000.0
84007,Avignon,8237000.0
84029,Camaret-sur-Aigues,2546000.0
84048,Gignac,55900.0
84102,Roussillon,11336600.0
85020,Benet,16909250.0
85051,Chantonnay,292382.04
85081,Dompierre-sur-Yon,3537392.0
85084,Essarts en Bocage,320000.0
85092,Fontenay-le-Comte,99368.41
85100,Givrand,1922448.0
85163,Noirmoutier-en-l'Île,1100000.0
85164,Notre-Dame-de-Monts,42144.0
85245,Saint-Martin-des-Fontaines,9451650.0
85266,Saint-Prouant,41555.82
86036,Bournand,4984786.0
86111,Ingrandes,4902163.0
86158,Migné-Auxances,7932173.0
86214,Saint-Benoît,14292981.0
86223,Saint-Germain,4860000.0
87002,Ambazac,27270.0
87073,Gorre,2271623.28
87085,Limoges,1510000.0
87146,Saint-Germain-les-Belles,540889.5
87154,Saint-Junien,606342.0
87174,Saint-Paul,737219.0
87201,Verneuil-sur-Vienne,120300.0
88123,Damblain,3514000.0
88160,Épinal,1484954.55
88196,Gérardmer,224189.0
88334,Oëlleville,2200000.0
88431,Saint-Paul,737219.0
89017,Argenteuil-sur-Armançon,599154.16
89024,Auxerre,3523500.0
89298,Piffonds,1090764.0
89387,Sens,5854700.0
90019,Bretagne,6030000.0
90033,Delle,4104847.05
91204,Écharcon,4904450.0
91377,Massy,4834248.0
92040,Issy-les-Moulineaux,4804138.0
92050,Nanterre,3703745.0
93001,Aubervilliers,27500793.08
93008,Bobigny,41845023.0
93066,Saint-Denis,752268.0
94041,Ivry-sur-Seine,23559.24
94046,Maisons-Alfort,1883998.63
97103,Baie-Mahault,901156.0
97106,Bouillante,2011532.0
97111,Deshaies,553676.0
97115,Lamentin,134702.74
97120,Pointe-à-Pitre,2793000.0
97121,Pointe-Noire,1733875.0
97126,Saint-Louis,509179.0
97209,Fort-de-France,4506.0
97225,Saint-Pierre,1628779.45
97228,Sainte-Marie,287442.47
97302,Cayenne,3606593.36
97304,Kourou,1582912.0
97309,Remire-Montjoly,560000.0
97402,Bras-Panon,63400.0
97410,Saint-Benoît,14292981.0
97411,Saint-Denis,752268.0
97414,Saint-Louis,509179.0
97415,Saint-Paul,737219.0
97416,Saint-Pierre,1628779.45
97418,Sainte-Marie,287442.47
97610,Koungou,2404228.44
